id,quelle,betreiber,ladeeinr_art,plz_ort,adresse,ladeart,bemerkungen,anschlussltg_kw,steckertyp_1,p1_kw,steckertyp_2,p2_kw,steckertyp_3,p3_kw,steckertyp_4,p4_kw,inbetrieb_am,x_wert,y_wert
824,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12161 Berlin,Südwestkorso 10,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-05-23T00:00:00,386145.412592297,5815209.5413682982
825,bnetza,Allego GmbH,Normalladeeinrichtung,12161 Berlin,Taunusstraße 1,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-07-31T00:00:00,386366.15584392531,5815026.4871508768
826,bnetza,Allego GmbH,Normalladeeinrichtung,12161 Berlin,Wiesbadener Str. 14a,"","",11,AC Steckdose Typ 2,11,"","","","","","",2017-07-24T00:00:00,385944.17920830223,5814825.2938346071
827,bnetza,Allego GmbH,Normalladeeinrichtung,12161 Berlin,Wiesbadener Str. 14a,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2017-07-24T00:00:00,385944.17920830223,5814825.2938346071
828,bnetza,Allego GmbH,Normalladeeinrichtung,12163 Berlin,Lepsiusstr. 14,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-01-29T00:00:00,385960.0088307634,5814097.0464137811
829,bnetza,Allego GmbH,Normalladeeinrichtung,12163 Berlin,Lepsiusstr. 14,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-01-29T00:00:00,385960.0088307634,5814097.0464137811
830,bnetza,Allego GmbH,Normalladeeinrichtung,12163 Berlin,Schöneberger Str. 4,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-11-07T00:00:00,386549.37494824588,5813989.7994255293
831,bnetza,Allego GmbH,Normalladeeinrichtung,12165 Berlin,Hindenburgdamm 65 c/d,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-11-07T00:00:00,385549.55476725305,5812764.5695241578
832,bnetza,Allego GmbH,Normalladeeinrichtung,12169 Berlin,Bismarckstr. 36,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-09-26T00:00:00,387065.77466978692,5812588.9110733885
833,bnetza,Lidl Dienstleistung GmbH & Co. KG,Normalladeeinrichtung,12169 Berlin,Steglitzer Damm 95,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2019-10-08T00:00:00,388164.88028654462,5812286.7818237962
834,bnetza,Riller & Schnauck GmbH,Normalladeeinrichtung,12203 Berlin,Hindenburgdamm 68,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2019-01-18T00:00:00,385498.44965755037,5812648.806379714
835,bnetza,Allego GmbH,Normalladeeinrichtung,12203 Berlin,Hindenburgdamm ggü. 96,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-09-16T00:00:00,385570.6594430118,5811324.4559385087
